POLISHOOFDBAANBUS;POLISHOOFDBAANJJJJBUSVV;
POLISBUS;POLISJJJJBUSVV;
POLISLONGBAANTAB;POLISLONGBAANTABVV;
POPULATIE_PS_ZORGINSTELLINGEN;Populatie PS zorginstellingen;
PRNL;PRNjjjj.sav;
PRODCOM;Prodcom;
PROVJZTAB;PROVJZJJJJTABVV;
PS_DIENSTVERLENINGLANDBOUW;PS Agrarische dienstverlening;
PS_AUTOHANDEL;PS Autohandel;
PS_BOUWNIJVERHEID;PS Bouwnijverheid;
PS_COMMERCIELEDIENSTEN;PS Commerciële dienstverlening;
PS_DELFSTOFFENWINNING;PS Delfstoffenwinning;
PS_DETAILHANDEL;PS Detailhandel;
PS_ENERGIE;PS Energie;
PS_ENERGIEWATER;PS Energie en Water;
PS_GEZONDHEIDSWELZIJNSZORG;PS Gezondheids- en welzijnszorg;
PS_GROOTHANDEL;PS Groothandel;
PS_ONROERENDGOED;PS Handel in onroerend goed;
PS_INDUSTRIE;PS Industrie;
PS_MILIEUDIENSTVERLENING;PS Milieu dienstverlening;
PS_ONDERWIJS;PS Onderwijs;
PS_SOCIALEWERKVOORZIENING;PS Sociale werkplaatsen;
PS_SPEURONTWIKKELING;PS Speur- en ontwikkelingswerk;
PS_TRANSPORT;PS Transport;
PS_WATERAFVAL;PS Water en afval;
PS_ZORGINSTELLINGEN;PS.Zorginst;
PS_ZORGPRAKTIJKEN;PS.Zorgprak;
PS_ZORGPRAKTIJKENREVISIE;PS.Zorgprak;
PWETSRGPERSOONBUS;PWETSRGPERSOONJJJJBUSVV;
PWETSRGVOORZIENINGTAB;PWETSRGVOORZIENINGJJJJMMTABVV;
RAVTAB;RAVJJJJTABVV;
RTD;RD_JJJJ_T;
RDWNPACTTAB;RDWNPACTJJJJTABVV;
ABR_Regio;Regionale EenhedenBase jjjj;
RESTUITKPERSOONMNDBEDRAGBUS;RESTUITKPERSOONMNDBEDRAGJJJJBUSVV;
RIJBEWIJZEN;RijbewijzenJJJJ;
KINDEROPVANG;RKTKINDERENJJJJTABVV en RKTONTVANGERSJJJJTABVV;
SCHTAB;SCHJJJJTABVV;
SECMBEURSMNDBEDRAGBUS;SECMBEURSMNDBEDRAGBUSVV;
SECMBIJSTMNDBEDRAGBUS;SECMBIJSTMNDBEDRAGBUSVV;
SECMBUS;SECMBUSVV;
SECMDTFBUS;SECMDTFBUSVV;
SECMECZLFHBUS;SECMECZLFHJJJJBUSVV;
SECMOVACTMNDBEDRAGBUS;SECMOVACTMNDBEDRAGBUSVV;
SECMPENSIOENMNDBEDRAGBUS;SECMPENSIOENMNDBEDRAGBUSVV;
SECMPOSWRKBUS;SECMPOSWRKJJJJBUSVV;
SECMSBIBUS;SECMSBIJJJJBUSVV;
SECMSOCVOORZOVMNDBEDRAGBUS;SECMSOCVOORZOVMNDBEDRAGBUSVV;
SECMWERKLMNDBEDRAGBUS;SECMWERKLMNDBEDRAGBUSVV;
SECMWERKNDGAMNDBEDRAGBUS;SECMWERKNDGAMNDBEDRAGBUSVV;
SECMZIEKTEAOMNDBEDRAGBUS;SECMZIEKTEAOMNDBEDRAGBUSVV;
SECMZLFMNDBEDRAGBUS;SECMZLFMNDBEDRAGBUSVV;
KOPPELPERSOONHUISHOUDEN;SELECTIE INPATAB;
SESWOA;SESWOAJJJJVV;
SFBRA;sfbrajjjj;
SFHULP;sfhulpjjjj;
NFO;SFO_JJJJ;
SHNTAB;SHNJJJJTABVV;
SIRAGPERSOONBUS;SIRAGPERSOONJJJJBUSVV;
SIRAGVOORZIENINGENBUS;SIRAGVOORZIENINGENJJJJBUSVV;
SIRWWPERSOONBUS;SIRWWPERSOONJJJJBUSVV;
SLOTAB;SLOJJJJTABVV;
SPOLISHOOFDBAANBUS;SPOLISHOOFDBAANJJJJBUSVV;
SPOLISBUS;SPOLISJJJJBUSVV;
SPOLISLONGBAANTAB;SPOLISLONGBAANTABVV;
SRGPERSOONBUS;SRGPERSOONJJJJKKBUSVV;
SRGPERSOONPWETBUS;SRGPERSOONPWETJJJJBUSVV;
SRGREINTEGRATIEPOSITIEBUS;SRGREINTEGRATIEPOSITIEJJJJKKBUSVV;
SRGVOORZIENINGTAB;SRGVOORZIENINGJJJJKKTABVV;
SRGVOORZIENINGPWETTAB;SRGVOORZIENINGPWETJJJJMMTABVV;
SOCSAMWELZIJN;SSWJJJJ;
STANDGEDETINEERDENTAB;STANDGEDETINEERDENJJJJTABVV;
STUDERENDENBUS;STUDERENDENJJJJBUSVV;
STUDIEBEURSJAARBEDRAGTAB;STUDIEBEURSJAARBEDRAGJJJJTABVV;
STUDIEBEURSMNDBEDRAGBUS;STUDIEBEURSMNDBEDRAGJJJJBUSVV;
SUWVONTSLAGVERGUNTAB;SUWVONTSLAGVERGUNTABVV;
SVO;SVOJJJJ;
UITKBUITLANDBUS;UITKBUITLANDBUSVV;
UITKBUITLANDMNDBEDRAGBUS;UITKBUITLANDMNDBEDRAGBUSVV;
UITSTROOMOMTAB;UITSTROOMOMJJJJTABVV;
UITSTROOMRECHTERTAB;UITSTROOMRECHTERJJJJTABVV;
UWVONTAANVTAB;UWVONTAANVJJJJTABVV;
UWVONTSLAGTAB;UWVONTSLAGJJJJTABVV;
UWVONTSLAGVERGUNTAB;UWVONTSLAGVERGUNTABVV;
UWVTRAAGGTABULT;UWVTRAAGGJJJJMMDDTABVV;
UWVTRAAGGTAB;UWVTRAAGGJJJJMMTABVV;
UWVTRAPERSAGGTAB;UWVTRAPERSAGGJJJJMMDDTABVV;
VBOWONINGTYPETAB;VBOWONINGTYPEJJJJTABVV;
VEHTAB;VEHJJJJTABVV;
VERDTAB;VERDJJJJTABVV;
VERKEERSPRESTATIETAB;VERKEERSPRESTATIEJJJJTABVV;
VKDTAB;VKDJJJJTABVV;
VOORRMUTWOONNIETWOONTAB;VOORRMUTWOONNIETWOONJJJJMMTABVV;
VRKTAB;VRKJJJJTABVV;
VRLGBAADRESBUITENLANDBUS;VRLGBAADRESBUITENLANDBUSVV;
VRLGBAADRESOBJECTBUS;VRLGBAADRESOBJECTBUSVV;
VRLGBABURGERLIJKESTAATBUS;VRLGBABURGERLIJKESTAATBUSVV;
